filled_at,symbol,side,shares,price,amount,reason,agent_public_id,run_public_id,experiment_run_public_id,closed_pnl,dir,fee
2025-11-19T16:24:06.192Z,XYZ100,BUY,0.005,24640.0000,-123.20,Open Long,,,,0.000000,Open Long,0.036960
2025-11-19T16:24:08.898Z,XYZ100,BUY,0.0534,24640.0000,-1315.78,Open Long,,,,0.000000,Open Long,0.394732
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.087,24612.0000,2141.24,Close Long,,,,-2.436000,Close Long,1.927119
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0048,24612.0000,118.14,Close Long,,,,-0.134352,Close Long,0.106323
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0108,24612.0000,265.81,Close Long,,,,-0.302292,Close Long,0.239228
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0208,24612.0000,511.93,Close Long,,,,-0.582192,Close Long,0.460736
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0188,24612.0000,462.71,Close Long,,,,-0.526212,Close Long,0.416435
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0321,24612.0000,790.05,Close Long,,,,-0.898479,Close Long,0.711040
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.003,24612.0000,73.84,Close Long,,,,-0.083970,Close Long,0.066452
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.001,24612.0000,24.61,Close Long,,,,-0.027990,Close Long,0.022150
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0106,24612.0000,260.89,Close Long,,,,-0.296694,Close Long,0.234798
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0042,24612.0000,103.37,Close Long,,,,-0.117558,Close Long,0.093033
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0084,24612.0000,206.74,Close Long,,,,-0.235116,Close Long,0.186066
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0037,24612.0000,91.06,Close Long,,,,-0.103563,Close Long,0.081957
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0342,24612.0000,841.73,Close Long,,,,-0.957258,Close Long,0.757557
2025-11-19T16:48:29.477Z,XYZ100,SELL,0.0006,24612.0000,14.77,Close Long,,,,-0.016794,Close Long,0.013290
2025-11-19T16:48:30.425Z,NVDA,SELL,2.321,185.3600,430.22,Close Long,,,,-1.624700,Close Long,0.387198
2025-11-19T16:48:30.425Z,NVDA,SELL,1.729,185.3600,320.49,Close Long,,,,-1.210300,Close Long,0.288438
2025-11-19T18:08:23.029Z,PLTR,SELL,1.8,164.2800,295.70,Open Short,,,,0.000000,Open Short,0.088711
2025-11-19T19:20:29.784Z,PLTR,BUY,1.8,163.8100,-294.86,Close Short,,,,0.846000,Close Short,0.265372
2025-11-19T19:29:37.944Z,TSLA,SELL,1.84,400.4400,736.81,Open Short,,,,0.000000,Open Short,0.221042
2025-11-19T19:43:46.721Z,TSLA,BUY,1.84,400.6300,-737.16,Close Short,,,,-0.349600,Close Short,0.663443
2025-11-19T20:19:04.600Z,PLTR,SELL,3.56,165.2800,588.40,Open Short,,,,0.000000,Open Short,0.529557
2025-11-19T20:31:10.048Z,PLTR,BUY,3.56,165.2800,-588.40,Close Short,,,,0.000000,Close Short,0.529557
2025-11-19T21:10:26.225Z,TSLA,BUY,2.88,404.1500,-1163.95,Open Long,,,,0.000000,Open Long,0.349185
2025-11-19T23:40:07.883Z,TSLA,SELL,2.472,410.0400,1013.62,Close Long,,,,14.560080,Close Long,0.912256
2025-11-19T23:40:07.883Z,TSLA,SELL,0.408,410.0400,167.30,Close Long,,,,2.403120,Close Long,0.150566
2025-11-19T23:52:31.445Z,GOOGL,SELL,10.172,299.6700,3048.24,Open Short,,,,0.000000,Open Short,0.914472
2025-11-19T23:53:51.648Z,GOOGL,SELL,0.1,299.6700,29.97,Open Short,,,,0.000000,Open Short,0.008990
2025-11-19T23:54:05.055Z,GOOGL,SELL,0.1,299.6700,29.97,Open Short,,,,0.000000,Open Short,0.008990
2025-11-19T23:54:07.696Z,GOOGL,SELL,0.1,299.6700,29.97,Open Short,,,,0.000000,Open Short,0.008990
2025-11-19T23:54:19.478Z,GOOGL,SELL,1.0,299.6700,299.67,Open Short,,,,0.000000,Open Short,0.089900
2025-11-19T23:54:26.639Z,GOOGL,SELL,0.166,299.6700,49.75,Open Short,,,,0.000000,Open Short,0.014923
2025-11-19T23:54:53.523Z,GOOGL,SELL,1.0,299.6700,299.67,Open Short,,,,0.000000,Open Short,0.089900
2025-11-20T01:07:46.921Z,TSLA,BUY,0.317,410.5600,-130.15,Open Long,,,,0.000000,Open Long,0.117132
2025-11-20T01:07:46.921Z,TSLA,BUY,0.47,410.5600,-192.96,Open Long,,,,0.000000,Open Long,0.173666
2025-11-20T01:07:46.921Z,TSLA,BUY,0.514,410.5600,-211.03,Open Long,,,,0.000000,Open Long,0.189925
2025-11-20T01:07:46.921Z,TSLA,BUY,0.606,410.5600,-248.80,Open Long,,,,0.000000,Open Long,0.223919
